,COMPOUND_ID,PCT_IHB_3D7,pXC50_3D7,SMILES
42,538758,100.0,6.809019999999999,COc1ccc2c(c1)c(ccn2)[C@H](CN3CCC(CC3)NCCOc4cc(cc(c4)F)F)O.C(=O)(C(=O)O)O
43,538759,100.0,6.777019999999999,CCCCN1CCN(CC1)CCCCNc2c3ccccc3nc4c2cccc4.Cl
45,285857,93.0,8.06976,Cc1cc2c(n1C(C)C)ccc3c2c(nc(n3)N)N
46,538958,99.0,6.738239999999999,Cc1cc(cc2c1C(=O)CC(O2)(C)C)OCc3ccncc3
47,538996,100.0,6.1959599999999995,CCOc1cc(ccc1N2CCN(CC2)CCCCNC(=O)c3ccc(cc3)NC(=O)c4ccc(cc4)Cl)C.Cl
48,538997,90.0,5.9987900000000005,Cc1ccc(s1)C(=O)Nc2cccc(c2)CN3CCCN(CC3)Cc4ccc(cc4)O.C(=O)(C(F)(F)F)O
49,539126,100.0,6.673760000000001,Cc1cccc(n1)c2ccc(cc2C)NC(=O)Nc3ccc4c(c3)c(ccn4)N5CCN(CC5)C.Cl
50,539161,99.0,6.09553,CCNc1cc(cc(c1)N2CCCCS2(=O)=O)C(=O)N[C@@H](Cc3ccccc3Cl)[C@@H](CNC4CCCCC4)O.Cl
51,539162,100.0,6.13875,c1ccc2cc(ccc2c1)/C=C/C(=O)NC3CCC(CC3)CN4CCC(CC4)c5c[nH]c6c5cccc6
52,539164,82.0,5.9384,CC(=C)Cn1cc(c2c1cccc2)C3CCN(CC3)CCCCNC(=O)c4c(nc(s4)c5ccc(cc5Cl)Cl)CO
53,541594,100.0,6.48168,c1ccc2c(c1)[nH]c(n2)c3cc(cs3)c4ccc(cc4)NC(=O)Nc5ccc(c(c5F)F)F
54,539200,95.0,6.09625,Cc1c[nH]c2c1ccc(c2)/C=C/C(=O)NC3CCC(CC3)CCN4CCc5ccc(cc5CC4)C#N.Cl
55,538259,99.0,6.15665,CCN1CCN(CC1)c2cc(c3cc(ccc3n2)NC(=O)C=Cc4cccc(c4OC)OC)C
56,538295,100.0,5.97012,CCNc1cc(nc(n1)Nc2ccc(cc2)NC(=O)c3ccc(c(c3)OC)OC)C
57,538300,93.0,5.99599,Cc1cc2c(cc1C)nc([nH]2)c3ccc(cc3)/C=C/C(=O)NC4CCCCC4
58,538376,98.0,6.54514,CCNc1cc(cc(c1)N2CCCCS2(=O)=O)C(=O)N[C@@H](Cc3cccc(c3)Cl)[C@@H](CNC(C)CCCC(C)C)O.Cl
59,538378,88.0,5.97647,COc1cccc(c1)C2=CC(n3c(c(cn3)C(=O)Nc4ccc(cc4)Cl)N2)c5ccccc5
60,538382,97.0,6.02669,CC(Cc1ccc(c(c1)Cl)OCc2ccccc2)NCC(c3cccc(c3)C(F)(F)F)O
61,538418,91.0,6.02543,CC(=O)Nc1ccc(cc1)CN(Cc2ccc(cc2)F)Cc3ccc4c(c3)OCO4
62,538419,99.0,6.41946,CCc1ccnc2c1cc(cc2N3CCCC3=O)C(=O)N[C@@H](Cc4ccccc4)[C@@H](CNC5CCOCC5)O.C(=O)O
63,507953,100.0,6.16067,Cc1cc(c2cc(ccc2n1)OC)Nc3ccc(c(c3)Cl)Oc4ccc5ccccc5c4
64,538465,93.0,6.7156199999999995,CC1(N=C(N=C(N1O)N)N)C.Cl
65,538500,95.0,6.15979,CC(C)C[C@@H](C(=O)N[C@@H](CCc1ccccc1)/C=N/NC(=O)C)NC(=O)c2ccc(cc2)F
66,543049,100.0,6.45974,CC(C)Sc1nc-2c(c(=O)n1CCc3ccccc3)C4(CCCC4)Cc5c2cccc5
67,538577,100.0,6.753260000000001,c1ccc(cc1)CCNCc2cccc(c2)c3ccccc3CN(C4CCN(CC4)Cc5ccccc5)C(=O)Nc6ccccc6.C(=O)(C(F)(F)F)O
68,538581,96.0,6.17245,CC(C)c1c(nc(s1)c2ccc(cc2)C(C)(C)C)C(=O)NCCCN3CCCC3=O
69,538585,96.0,6.063,Cc1ccc(cc1)n2c(=O)c3cccnc3n2CC(=O)Nc4cccc(c4C)C
70,538696,91.0,5.9239,CN(CCC(CCN1CCC(CC1)c2c[nH]c3c2cccc3)c4ccccc4)C(=O)Nc5ccc(c(c5)Cl)Cl
71,538697,95.0,6.082269999999999,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2cc(ccc2Cn3ccc(nc3=O)N4CCNCC4)Cl.C(=O)(C(F)(F)F)O
72,538699,98.0,6.059819999999999,CCc1c(ccc(c1OC)OC)CCNCCCCCCNCCc2ccc(cc2)OC.Cl
73,538735,100.0,6.29045,CCCCN1CCN(CC1)CCCNc2c3ccccc3nc4c2cccc4.Cl
74,538185,86.0,5.78808,Cc1cc(c(cc1NC(=O)c2cccc3c2oc(c(c3=O)C)c4ccccc4)OC)OC
75,524830,99.0,6.60342,CC(=O)Nc1c(nc([nH]1)c2ccccc2)C(=O)N
